Dest Post,Protocol,Timestamp,Flow Duration,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd Header Length,Bwd Header Length,Fwd Seg Size Min,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Act Data Packets,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Total,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Init Fwd Win Bytes,Init Bwd Win Bytes,win_byts_tot,fwd_win_tot,bwd_win_tot,win_byts_mean,fwd_win_mean,bwd_win_mean,win_byts_std,fwd_win_std,bwd_win_std,win_byts_max,fwd_win_max,bwd_win_max,win_byts_min,fwd_win_min,bwd_win_min,zero_win_cnt,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bulk Rate,Label,Predict
443,6,2025-04-01 14:06:20,968,11227.159631273742,42.36274110824806,24.797702112145206,17.565038996102853,24,17,3624,7242,583.0,54.0,151.0,155.30775898196458,2602.0,66.0,426.0,675.998259656653,2602,54,265.0243902439024,471.1171201182681,221951.34086853062,748,560,20,117.0,392.0,8,24195.79029083252,252316.47491455078,0.476837158203125,53987.7684682406,967831.6116333008,252316.47491455078,366.44935607910156,42079.63528840438,69282.01375531284,674342.6322937012,279875.5168914795,0.476837158203125,42146.41451835632,65888.4861901497,8,8,0,0,5,0,4,16,35,0,0,0,0.7083333333333334,265.0243902439024,655,62643,270762,138215,132547,6603.951219512195,5758.958333333333,7796.882352941177,18690.38769639418,17633.860847053995,20026.970593742575,64240,64240,62643,0,0,483,4,967831.6116333008,967831.6116333008,967831.6116333008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
53,17,2025-04-01 14:06:20,89,6622.909107397677,44.749385860795115,22.374692930397558,22.374692930397558,2,2,186,406,93.0,93.0,93.0,0.0,233.0,173.0,203.0,30.0,233,93,148.0,58.94913061275798,3475.0,16,16,59,59.0,169.0,2,29795.56719462077,53263.66424560547,352.3826599121094,22010.257950763917,352.3826599121094,352.3826599121094,352.3826599121094,352.3826599121094,0.0,35770.65467834473,35770.65467834473,35770.65467834473,35770.65467834473,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89386.7015838623,89386.7015838623,89386.7015838623,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
80,6,2025-04-01 14:06:20,1966,2875.8206131526504,25.43173517114123,14.750406399261914,10.681328771879318,29,21,3548,2106,309.0,66.0,122.34482758620689,91.32181665617514,236.0,66.0,100.28571428571429,65.91274380511229,309,66,113.08,82.34217388434678,6780.233600000001,968,712,32,88.34482758620689,66.28571428571429,8,40123.41888583436,205704.4506072998,0.0,64753.64137174784,1928389.072418213,205704.4506072998,460.1478576660156,68871.03830065046,73306.89900096603,1928646.0876464844,240488.76762390137,0.0,96432.30438232422,102803.28821682878,8,4,0,0,8,0,0,12,45,0,0,0,0.7241379310344828,113.08,64240,62643,654247,333236,321011,13084.94,11490.896551724138,15286.238095238095,25180.813000703532,24076.56154329183,26473.234706028157,64240,64240,62643,487,501,487,0,1966047.5254058838,1966047.5254058838,1966047.5254058838,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:06:21,1947,11219.636747912751,43.66616866174835,24.144822671790262,19.521345989958085,47,38,7126,14714,583.0,54.0,151.61702127659575,155.7751452590846,2603.0,66.0,387.2105263157895,649.1837448874077,2603,54,256.94117647058823,464.2697327794334,215546.38477508648,1460,1256,20,117.61702127659575,353.2105263157895,16,23173.655782427108,276069.87953186035,0.0,54933.899953350636,1910482.8834533691,276069.87953186035,90.59906005859375,41532.23659681237,72198.06218584269,1909335.1364135742,317464.82849121094,0.0,51603.652335502,86909.60737630857,16,16,0,0,8,0,8,32,72,0,0,0,0.8085106382978723,256.94117647058823,64240,62643,668701,339514,329187,7867.070588235294,7223.702127659574,8662.815789473685,20295.326114962147,19673.52389327741,21011.758244342574,64240,64240,62643,0,0,483,8,1946587.085723877,1946587.085723877,1946587.085723877,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
80,6,2025-04-01 14:06:22,991,3798.0185068284345,31.280173674729404,18.162681488552558,13.117492186176847,18,13,2380,1384,309.0,66.0,132.22222222222223,95.72562385134084,236.0,66.0,106.46153846153847,71.00662524301775,309,66,121.41935483870968,87.15865185471924,7596.630593132152,592,432,32,98.22222222222223,72.46153846153847,6,33034.769694010414,214496.13571166992,0.0,57399.30180389234,991043.0908203125,214496.13571166992,780.3440093994141,58296.65240119485,66051.27045104111,950531.7211151123,273749.82833862305,0.0,79210.9767595927,99428.12758262975,6,3,0,0,4,0,0,9,29,0,0,0,0.7222222222222222,121.41935483870968,502,488,267151,136505,130646,8617.774193548386,7583.611111111111,10049.692307692309,21103.61223583831,20031.05839589802,22425.861754764006,64240,64240,62643,487,501,487,0,991043.0908203125,991043.0908203125,991043.0908203125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:06:23,1015,16750.877287474337,56.16140258726177,32.514496234730494,23.64690635253127,33,24,9195,7806,2922.0,54.0,278.6363636363636,543.9562603952091,1506.0,66.0,325.25,466.09416519983745,2922,54,298.2631578947368,513.1320929185878,263304.54478301015,1048,784,20,244.63636363636363,291.25,14,18123.78423554557,163415.19355773926,0.476837158203125,35109.56774248062,977239.8471832275,256442.07000732422,155.2104949951172,30538.74522447586,62665.32751319197,971611.2613677979,201696.39587402344,0.476837158203125,42243.96788555643,55097.783833285874,14,9,0,0,6,0,4,23,51,0,0,0,0.7272727272727273,298.2631578947368,502,486,342735,143193,199542,6012.894736842105,4339.181818181818,8314.25,16290.765904134329,15215.90153366187,17401.319684749007,64240,64240,62643,0,0,483,4,1014931.9171905518,1014931.9171905518,1014931.9171905518,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4914.0,6.0,626.0,4.0,217399.84659198785,1833.1543471218401,Syn,Unknow
80,6,2025-04-01 14:06:23,1733,3217.7670879527586,28.276647652382565,16.158084372790036,12.118563279592527,28,21,3478,2098,309.0,66.0,124.21428571428571,92.61068942578048,236.0,66.0,99.9047619047619,66.08645474780583,309,66,113.79591836734694,83.1713205063431,6917.468554768847,928,704,32,90.21428571428571,65.9047619047619,8,36101.63927078247,214098.45352172852,0.0,59435.63715808016,1732878.6849975586,214098.45352172852,803.9474487304688,64180.69203694662,67277.2942051862,1690762.2814178467,299001.69372558594,0.0,84538.11407089233,100848.9571507468,8,4,0,0,8,0,0,12,45,0,0,0,0.75,113.79591836734694,501,487,527851,268996,258855,10772.469387755102,9607.0,12326.42857142857,23267.523696856024,22303.828857716017,24407.12220521166,64240,64240,62643,487,501,487,0,1732878.6849975586,1732878.6849975586,1732878.6849975586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
57008,6,2025-04-01 14:06:24,170,27405.89331332361,100.19358845731212,47.149923979911584,53.04366447740053,8,9,3568,1082,1506.0,66.0,446.0,529.896452148908,331.0,54.0,120.22222222222223,92.8161597254101,1506,54,273.52941176470586,403.9039078568155,163138.36678200692,256,276,32,412.0,86.22222222222223,5,10604.47096824646,60505.15174865723,11.920928955078125,17794.95182435128,169659.61456298828,60505.15174865723,164.031982421875,24237.08779471261,23842.992357006122,169644.11735534668,111822.84355163574,286.8175506591797,21205.514669418335,36586.56469981435,4,3,0,0,2,0,2,7,15,0,0,0,1.125,273.52941176470586,486,502,7607,3871,3736,447.47058823529414,483.875,415.1111111111111,165.74506208492707,1.2686114456365274,222.85393544474343,569,486,569,0,483,0,2,169671.53549194336,169671.53549194336,169671.53549194336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:06:24,1649,15924.445684177901,50.93106295579286,29.10346454616735,21.827598409625512,48,36,11729,14535,2922.0,54.0,244.35416666666666,461.74147210963434,2601.0,66.0,403.75,592.983294452719,2922,54,312.6666666666667,527.9695908751647,278751.8888888889,1532,1184,20,210.35416666666666,369.75,19,19870.941897472705,259614.2292022705,0.0,47461.02736483322,1552883.8634490967,259614.2292022705,120.87821960449219,33040.08220104461,62480.30092206112,1620654.582977295,292889.3566131592,0.0,46304.41665649414,77672.52267208799,19,15,0,0,6,0,6,34,74,0,0,0,0.75,312.6666666666667,64240,62643,591185,277423,313762,7037.916666666667,5779.645833333333,8715.611111111111,18537.681610200092,17627.36910022024,19560.555146174742,64240,64240,62643,0,0,482,6,1649288.1774902344,1649288.1774902344,1649288.1774902344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
5353,17,2025-04-01 14:06:25,796,1417.9615950713944,7.542348909954226,7.542348909954226,0.0,6,0,1128,0,329.0,84.0,188.0,105.6330125166055,0.0,0.0,0.0,0.0,329,84,188.0,105.6330125166055,11158.333333333334,48,0,50,154.0,0,6,159101.62925720215,265851.7360687256,1814.6038055419922,128386.03145789387,795508.1462860107,265851.7360687256,1814.6038055419922,159101.62925720215,128386.03145789387,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795508.1462860107,795508.1462860107,795508.1462860107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,876.0,6.0,0.0,0.0,1101.182940853317,0.0,Syn,Unknow
37594,6,2025-04-01 14:07:10,461,6351.383748507067,13.028479484117062,10.857066236764219,2.1714132473528434,5,1,579,2346,204.0,66.0,115.8,57.6,2346.0,2346.0,2346.0,0.0,2346,66,487.5,832.8080511138206,693569.25,172,32,32,81.8,2312.0,2,92105.91316223145,165233.85047912598,62.22724914550781,65218.33693255249,460529.5658111572,165296.07772827148,45367.47932434082,115132.3914527893,51680.13982152892,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,3,6,0,0,0,0.2,487.5,16385,592,82517,81925,592,13752.833333333334,16385.0,592.0,5885.703594775696,0.0,0.0,16385,16385,592,592,16385,592,0,460529.5658111572,460529.5658111572,460529.5658111572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
80,6,2025-04-01 14:07:10,1730,4668.627029052698,39.8731606640223,23.1148757472593,16.758284916762996,40,29,5097,2982,309.0,66.0,127.425,94.29100898282933,236.0,66.0,102.82758620689656,68.09023878876863,309,66,117.08695652173913,85.14739805234842,7250.079395085067,1328,976,32,93.425,68.82758620689656,12,25448.343333076027,209388.97132873535,0.2384185791015625,50783.2947701033,1730487.34664917,209388.97132873535,287.77122497558594,44371.47042690179,61169.3121764826,1697825.6702423096,258729.9346923828,0.2384185791015625,60636.63108008249,82863.41109006215,12,6,0,0,10,0,0,18,63,0,0,0,0.725,117.08695652173913,64240,62643,789557,402492,387065,11442.855072463768,10062.3,13347.068965517241,23860.939154637537,22759.18629718558,25178.08994279863,64240,64240,62643,487,501,487,0,1730487.34664917,1730487.34664917,1730487.34664917,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:07:10,1836,21768.5440967066,72.45648843440556,41.948493304129535,30.507995130276026,77,56,18334,21624,6098.0,54.0,238.1038961038961,692.1537736287052,2602.0,66.0,386.14285714285717,562.6628154388302,6098,54,300.43609022556393,644.9832468930364,416003.38877268357,2444,1856,20,204.1038961038961,352.14285714285717,28,13905.942440032959,118671.65565490723,0.2384185791015625,22558.654650364806,1749290.7047271729,118671.65565490723,67.23403930664062,23016.982956936485,33313.97272714631,1797516.8228149414,158664.46495056152,0.2384185791015625,32682.124051180752,38807.95584188066,28,22,0,0,10,0,10,50,115,0,0,0,0.7272727272727273,300.43609022556393,64240,62643,1091145,545079,546066,8204.097744360903,7078.948051948052,9751.17857142857,20609.677134587768,19464.329296390883,21993.98361736612,65535,64240,65535,0,0,482,10,1835584.4020843506,1835584.4020843506,1835584.4020843506,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1563.0,5.0,0.0,0.0,575111.6020703571,0.0,Syn,Unknow
123,17,2025-04-01 14:07:11,239,752.2733065561569,8.358592295068409,4.179296147534204,4.179296147534204,1,1,90,90,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,90,90,90.0,0.0,0.0,8,8,56,56.0,56.0,1,239274.7402191162,239274.7402191162,239274.7402191162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239274.7402191162,239274.7402191162,239274.7402191162,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
53,17,2025-04-01 14:07:12,9,33611.363299399636,218.96653615244063,109.48326807622031,109.48326807622031,1,1,92,215,92.0,92.0,92.0,0.0,215.0,215.0,215.0,0.0,215,92,153.5,61.5,3782.25,8,8,58,58.0,181.0,1,9133.81576538086,9133.81576538086,9133.81576538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,153.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9133.81576538086,9133.81576538086,9133.81576538086,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:07:12,1007,38327.01522173382,87.42974672765057,49.67599245889237,37.7537542687582,50,38,19653,18924,3943.0,54.0,393.06,788.747219583055,2946.0,66.0,498.0,664.1577570997642,3943,54,438.375,739.3631060289783,546657.8025568182,1576,1240,20,359.06,464.0,17,11569.223184695189,119220.49522399902,0.0,22840.34964606528,978015.8996582031,205860.85319519043,61.98883056640625,19959.50815628986,36315.606090832494,983651.6380310059,145676.3744354248,0.0,26585.179406243402,37048.47186702393,17,17,0,0,8,0,6,34,79,0,0,0,0.76,438.375,502,16383,641472,214041,427431,7289.454545454545,4280.82,11248.184210526315,16254.462987766196,15149.53400166487,16801.26423948549,64240,64240,62643,0,0,482,6,1006522.4170684814,1006522.4170684814,1006522.4170684814,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,5020.0,7.0,0.0,50781.07059047683,Syn,Unknow
80,6,2025-04-01 14:07:12,1851,4458.023855511766,38.90167465723514,22.692643550053834,16.20903110718131,42,30,5203,3048,309.0,66.0,123.88095238095238,92.2360332389918,236.0,66.0,101.6,67.27139065011217,309,66,114.59722222222223,83.48031366772484,6968.962770061728,1392,1008,32,89.88095238095238,67.6,12,26067.88823302363,284122.4670410156,0.0,52821.08737651034,1850820.0645446777,284122.4670410156,689.2681121826172,45141.95279377263,63289.583445407,1795106.1725616455,316816.8067932129,0.0,61900.21284695329,86280.0220138434,12,6,0,0,12,0,0,18,66,0,0,0,0.7142857142857143,114.59722222222223,501,487,791046,403494,387552,10986.75,9607.0,12918.4,23460.743111721047,22303.828857716017,24862.300003016615,64240,64240,62643,487,501,487,0,1850820.0645446777,1850820.0645446777,1850820.0645446777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:07:13,1003,21284.482233971834,77.7533539832242,43.860866349511085,33.89248763371312,44,34,6960,14392,583.0,54.0,158.1818181818182,158.92326231796628,2603.0,66.0,423.29411764705884,606.8560508357696,2603,54,273.7435897435897,438.2458751366557,192059.44707429322,1372,1112,20,124.18181818181819,389.29411764705884,17,13028.209859674627,119056.46324157715,0.2384185791015625,23461.52896256721,970551.9676208496,119056.46324157715,170.9461212158203,22570.97599118255,33786.26066066899,969665.52734375,151957.51190185547,0.2384185791015625,29383.803858901516,37887.1330291029,17,14,0,0,8,0,6,31,69,0,0,0,0.7727272727272727,273.7435897435897,502,486,446337,211598,234739,5722.2692307692305,4809.045454545455,6904.088235294118,16852.501001847126,16077.202063162358,17736.124802831826,64240,64240,62643,0,0,483,6,1003172.1591949463,1003172.1591949463,1003172.1591949463,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
